ID,Title,Year,Authors,DBLP key,DOI,I1,I2,I3,I4,E1,E2,E3,Included,Final decision (arbiter),Main violation criterion (arbiter),Abstract
13,Towards code-aware robotic simulation: vision paper.,2018,John-Paul Ore & Carrick Detweiler & Sebastian G. Elbaum,conf/icse/OreDE18,https://doi.org/10.1145/3196558.3196566,True,True,True,True,False,False,False,Yes,Yes,,"This vision paper explores the potential to dramatically enrich robotic simulations with insights gleaned from program analysis, and promises to be a key tool for future robot system developers to reduce effort and find tricky corner cases. Robotic simulations are a critical, cost-effective tool for developing, testing, and validating robotic software. However, most robotics simulations are intentionally unaware of how the code works. Our approach leverages two recent developments: 1) automatic program analysis that can semantically ground program variables and predicates in physical quantities like distance, velocity, or force; and 2) standardized simulation specifications that identify both what elements are simulated and also how they are simulated. Code-aware robotic simulation could enable robot system developers who increasingly rely on simulation to lower the cost and risk of system development by having access to richer simulation scenarios. We describe the approach using a detailed, step-by-step illustration for C++ using the Robot Operating System (ROS) and the Simulation Description Format (SDFormat), and identify key challenges to realizing this vision."
108,A Hybrid Editor for Fast Robot Mission Prototyping.,2019,Thomas Witte & Matthias Tichy,conf/kbse/WitteT19,https://doi.org/10.1109/ASEW.2019.00026,True,True,True,True,False,False,False,Yes,Yes,,"We present an editor that creates an interactive live preview for simple robot missions. The preview provides instant feedback and the statements in the script can be adapted through direct manipulation of the visualization. While the program is executed to draw the preview, it decorates each value with location information and the expression that produced it. If a value is changed in the visualization, the change can be traced back to the source to produce the desired result. An application prototype demonstrates that our approach produces sensible and generalizing results even in the presence of control flow structures in our DSL."
39,Machine learning meets quantitative planning: enabling self-adaptation in autonomous robots.,2019,Pooyan Jamshidi & Javier Cámara & Bradley R. Schmerl & Christian Kästner & David Garlan,conf/icse/JamshidiCSKG19,https://doi.org/10.1109/SEAMS.2019.00015,True,True,True,True,False,False,False,Yes,Yes,,"Modern cyber-physical systems (e.g., robotics systems) are typically composed of physical and software components, the characteristics of which are likely to change over time. Assumptions about parts of the system made at design time may not hold at run time, especially when a system is deployed for long periods (e.g., over decades). Self-adaptation is designed to find reconfigurations of systems to handle such run-time inconsistencies. Planners can be used to find and enact optimal reconfigurations in such an evolving context. However, for systems that are highly configurable, such planning becomes intractable due to the size of the adaptation space. To overcome this challenge, in this paper we explore an approach that (a) uses machine learning to find Pareto-optimal configurations without needing to explore every configuration and (b) restricts the search space to such configurations to make planning tractable. We explore this in the context of robot missions that need to consider task timeliness and energy consumption. An independent evaluation shows that our approach results in high-quality adaptation plans in uncertain and adversarial environments."
204,Model-Based Adaptation for Robotics Software.,2019,Jonathan Aldrich & David Garlan & Christian Kästner & Claire Le Goues & Anahita Mohseni-Kabir & Ivan Ruchkin & Selva Samuel & Bradley R. Schmerl & Christopher Steven Timperley & Manuela Veloso & Ian Voysey & Joydeep Biswas & Arjun Guha & Jarrett Holtz & Javier Cámara & Pooyan Jamshidi,journals/software/AldrichGKGMRSST19,https://doi.org/10.1109/MS.2018.2885058,True,True,True,True,False,False,False,Yes,Yes,,"We developed model-based adaptation, an approach that leverages models of software and its environment to enable automated adaptation. The goal of our approach is to build long-lasting software systems that can effectively adapt to changes in their environment."
119,Formal Modeling and Automatic Code Synthesis for Robot System.,2017,Xinxin Li & Rui Wang 0024 & Yu Jiang 0001 & Yong Guan & Xiaojuan Li & Xiaoyu Song,conf/iceccs/LiWJGLS17,https://doi.org/10.1109/ICECCS.2017.17,True,True,True,True,False,False,False,Yes,,,"Robot control systems are complex cyber-physical systems that are difficult to develop. This paper presents a formal model-based automatic code synthesis method that generates executable C++ code for the Robot Operating System (ROS). The internal interaction behaviors of robot systems are modeled as a network of timed automata. Safety requirements and specifications are formalized as CTL formulas and verified using the Uppaal model checker. The method supports complex structures and advanced features like timers and committed locations. It provides an abstraction and mapping of ROS instructions to ensure a seamless connection between the verified model and the generated code. The approach was validated by modeling a robot with a seven-degrees-of-freedom manipulator grasping a cup, with the resulting code successfully running in a ROS environment."
38,A use case in model-based robot development using AADL and ROS.,2018,Gianluca Bardaro & Andrea Semprebon & Matteo Matteucci,conf/icse/BardaroSM18,https://doi.org/10.1145/3196558.3196560,True,True,True,True,False,False,False,Yes,,,"Designing a robotic application is a challenging task. It requires a vertical expertise spanning various fields, starting from hardware and low-level communication to high-level architectural solution for distributed applications. Today a single expert cannot undertake the entire effort of creating a robust and reliable robotic application. The current landscape of robotics middlewares, ROS in primis, does not offer a solution for this problem yet; developers are expected to be both architectural designers and domain experts. In our previous works we used the Architecture Analysis and Description Language to define a model-based approach for robot development, in an effort to separate the competences of software engineers and robotics experts, and to simplify the merge of software artifacts created by the two categories of developers. In this work we present a practical use-case, i.e., an autonomous wheelchair, and how we used a combination of model-based developed and automatic code generation to completely re-design and re-implement an existing architecture originally written by hand."
31,Towards rapid composition with confidence in robotics software.,2018,Neil A. Ernst & Rick Kazman & Philip Bianco,conf/icse/ErnstKB18,https://doi.org/10.1145/3196558.3196567,True,True,True,True,False,False,False,Yes,,,"Robotics software is booming thanks in part to a rich and productive ecosystem around the Robot Operating System. We introduce a military effort to leverage the ROS ecosystem and reduce the chal- lenges in building military robots, called ROS-M. We outline some of the work we have done on the ROS-M initiative, and explain our future directions in analyzing ROS code to balance between rapid adoption and confidence in the component."
10,The forgotten case of the dependency bugs: on the example of the robot operating system.,2020,Anders Fischer-Nielsen & Zhoulai Fu & Ting Su & Andrzej Wasowski,conf/icse/Fischer-Nielsen20,https://doi.org/10.1145/3377813.3381364,True,True,True,True,False,False,False,Yes,,,"A dependency bug is a software fault that manifests itself when accessing an unavailable asset. Dependency bugs are pervasive and we all hate them. This paper presents a case study of dependency bugs in the Robot Operating System (ROS), applying mixed methods: a qualitative investigation of 78 dependency bug reports, a quantitative analysis of 1354 ROS bug reports against 19553 reports in the top 30 GitHub projects, and a design of three dependency linters evaluated on 406 ROS packages.The paper presents a definition and a taxonomy of dependency bugs extracted from data. It describes multiple facets of these bugs and estimates that as many as 15% (!) of all reported bugs are dependency bugs. We show that lightweight tools can find dependency bugs efficiently, although it is challenging to decide which tools to build and difficult to build general tools. We present the research problem to the community, and posit that it should be feasible to eradicate it from software development practice."
9,Formal Verification of ROS-Based Robotic Applications Using Timed-Automata.,2017,Raju Halder & José Proença & Nuno Macedo & André Santos 0001,conf/icse/HalderPMS17,https://doi.org/10.1109/FormaliSE.2017.9,True,True,True,True,False,False,False,Yes,,,"Robotic technologies are continuously transforming the domestic and the industrial environments. Recently the Robotic Operating System (ROS), an open source middleware framework, has been widely adopted both by industry and academia, becoming the de facto standard for developing robot applications. Guaranteeing the correct behaviour of robotic systems is, however, challenging due to their potential for parameterization and heterogeneity. Although different approaches exist, focusing on concrete domain spaces for specific scenarios, no general approach to reason about ROS systems has yet arisen. This paper proposes an approach to model and verify ROS systems using real time properties, focusing on one of the main features of ROS, the communication between nodes. It takes low-level parameters into account, such as queue sizes and timeouts, and uses timed automata as the modelling language. The physical robot Kobuki is used as a complex case study, over which properties are automatically verified using the UPPAAL model checker, enabling the identification of problematic parameter combinations."
21,How do you architect your robots?: state of the practice and guidelines for ROS-based systems.,2020,Ivano Malavolta & Grace A. Lewis & Bradley R. Schmerl & Patricia Lago & David Garlan,conf/icse/MalavoltaLSLG20,https://doi.org/10.1145/3377813.3381358,True,True,True,True,False,False,False,Yes,,,"The Robot Operating System (ROS) is the de-facto standard for robotic software. If on one hand ROS is helping roboticists, e.g., by providing a standardized communication platform, on the other hand ROS-based systems are getting larger and more complex and could benefit from good software architecture practices. This paper presents an observational study aimed at (i) unveiling the state-of the-practice for architecting ROS-based systems and (ii) providing guidance to roboticists about how to properly architect ROS-based systems. To achieve these goals, we (i) build a dataset of 335 GitHub repositories containing real open-source ROS-based systems, (ii) mine the repositories for extracting the state of the practice about how roboticists are architecting them, and (iii) synthesize a catalog of 49 evidence-based guidelines for architecting ROS-based systems. The guidelines have been validated by 77 roboticists working on real-world open-source ROS-based systems."
14,High level synthesis of ROS protocol interpretation and communication circuit for FPGA.,2019,Takeshi Ohkawa & Yuhei Sugata & Harumi Watanabe & Nobuhiko Ogura & Kanemitsu Ootsu & Takashi Yokota,conf/icse/OhkawaSWOOY19,https://doi.org/10.1109/RoSE.2019.00014,True,True,True,True,False,False,False,Yes,,,"This paper proposes a method with encapsulating hardware description on ROS nodes for improving the productivity of robot development. To realize intellectual robots, we should satisfy constraints involving high performance, low power consumption, and high energy efficiency. FPGA (Field Programmable Gate Array) is well-known to satisfy the constraints. In conventional methods, to apply FPGA into software description of ordinary ROS system, we need to describe codes for performing the conversion process between the abstraction level of the ROS message level and the abstraction degree of the low FPGA level. Thus, the describing cost causes to the productivity problem. This proposal contributes to simplifying the describing part of FPGA in the conversion process. In this process, we provide a generating mechanism from C/C++ programs into circuits in High-Level Synthesis and integrating communication in the ROS protocol. To evaluate whether the method contributes to productivity, we compare a C/C++ program in the new method with a conventional description in HDL. As a result, the size of the new method was 127 lines, while the conventional was 860 liens. Therefore, we consider this method contributes to improving productivity."
15,Checking consistency of robot software architectures in ROS.,2018,Thomas Witte & Matthias Tichy,conf/icse/WitteT18,https://doi.org/10.1145/3196558.3196559,True,True,True,True,False,False,False,Yes,,,"Context: The software architecture of complex robot systems is usually divided into components. The software is then the configuration and combination of those components and their connectors. Objective: In the Robot Operating System (ROS), this architectural configuration, the ROS node graph, is partly defined in code and created at run-time. The static information about the architecture in the configuration is limited and checking the consistency at development time is not possible. The full software has to be manually executed to check the consistency and debug configuration errors. Method: We propose an approach and a corresponding tool to analyze ROS nodes and their launch files to check consistency and issue warnings if potential problems are detected. The approach uses both static analysis of the launch files as well as dynamic analysis of individual ROS nodes to reconstruct the node graph without executing the whole launch configuration. The nodes are executed in a sandbox to prevent side effects and enable the integration of the analysis tool, e.g., into automated testing systems. Results: The evaluation on internal and publicly available ROS projects shows that we are able to reconstruct the complete architecture of the system if the nodes implement a common lifecycle. Conclusion: The approach enables ROS developers to avoid creating incompatible architectures and check consistency already at development time. The approach can be extended to also monitor architectural consistency at run time."
58,It Takes a Village to Build a Robot: An Empirical Study of The ROS Ecosystem.,2020,Sophia Kolak & Afsoon Afzal & Claire Le Goues & Michael Hilton & Christopher Steven Timperley,conf/icsm/KolakAGHT20,https://doi.org/10.1109/ICSME46990.2020.00048,True,True,True,True,False,False,False,Yes,,,"Over the past eleven years, the Robot Operating System (ROS), has grown from a small research project into the most popular framework for robotics development. Composed of packages released on the Rosdistro package manager, ROS aims to simplify development by providing reusable libraries, tools and conventions for building a robot. Still, developing a complete robot is a difficult task that involves bridging many technical disciplines. Experts who create computer vision packages, for instance, may need to rely on software designed by mechanical engineers to implement motor control. As building a robot requires domain expertise in software, mechanical, and electrical engineering, as well as artificial intelligence and robotics, ROS faces knowledge based barriers to collaboration.In this paper, we examine how the necessity of domain specific knowledge impacts the open source collaboration model. We create a comprehensive corpus of package metadata and dependencies over three years in the ROS ecosystem, analyze how collaboration is structured, and study the dependency network evolution. We find that the most widely used ROS packages belong to a small cluster of foundational working groups (FWGs), each organized around a different domain in robotics. We show that the FWGs are growing at a slower rate than the rest of the ecosystem, in terms of their membership and number of packages, yet the number of dependencies on FWGs is increasing at a faster rate. In addition, we mined all ROS packages on GitHub, and showed that 82% rely exclusively on functionality provided by FWGs. Finally, we investigate these highly influential groups and describe the unique model of collaboration they support in ROS."
72,Robotic system testing with AMSA framework.,2018,Hamza El Baccouri & Goulven Guillou & Jean-Philippe Babau,conf/models/BaccouriGB18,http://ceur-ws.org/Vol-2245/mdetools_paper_2.pdf,True,True,True,True,False,False,False,Yes,,,"Robotic systems today combine complex software and hardware to provide sophisticated functionalities. However, these systems are often developed in a code-centric, case-by-case manner for specific platforms, which limits reusability and makes testing difficult. The AMSA framework addresses these challenges by: Modeling robotic architectures using a component-based paradigm to improve reusability and abstraction; incorporating different behaviors into the model through parameterization; generating code directly for robotic middleware like ROS from the architectural and scenario models. The approach has been validated through experiments such as the 'MDE challenge,' where a rover must follow a leader rover, allowing for the evaluation of control law parameters, sensor behaviors, and actuator performance in simulation before physical deployment."
67,AC-ROS: assurance case driven adaptation for the robot operating system.,2020,Betty H. C. Cheng & Robert Jared Clark & Jonathon Emil Fleck & Michael Austin Langford & Philip K. McKinley,conf/models/ChengCFLM20,https://doi.org/10.1145/3365438.3410952,True,True,True,True,False,False,False,Yes,,,"Cyber-physical systems that implement self-adaptive behavior, such as autonomous robots, need to ensure that requirements remain satisfied across run-time adaptations. The Robot Operating System (ROS), a middleware infrastructure for robotic systems, is widely used in both research and industrial applications. However, ROS itself does not assure self-adaptive behavior. This paper introduces AC-ROS, which fills this gap by using assurance case models at run time to manage the self-adaptive operation of ROS-based systems. Assurance cases provide structured arguments that a system satisfies requirements and can be specified graphically with Goal Structuring Notation (GSN) models. AC-ROS uses GSN models to instantiate a ROS-based MAPE-K framework, which in turn uses these models at run time to assure system behavior adheres to requirements across adaptations. For this study, AC-ROS is implemented and tested on EvoRally, a 1:5-scale autonomous vehicle."
