ID,Title,Year,Authors,DBLP key,DOI,I1,I2,I3,I4,E1,E2,E3,Included,Final decision (arbiter),Main violation criterion (arbiter)
13,Towards code-aware robotic simulation: vision paper.,2018,John-Paul Ore & Carrick Detweiler & Sebastian G. Elbaum,conf/icse/OreDE18,https://doi.org/10.1145/3196558.3196566,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,Yes,
108,A Hybrid Editor for Fast Robot Mission Prototyping.,2019,Thomas Witte & Matthias Tichy,conf/kbse/WitteT19,https://doi.org/10.1109/ASEW.2019.00026,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,Yes,
39,Machine learning meets quantitative planning: enabling self-adaptation in autonomous robots.,2019,Pooyan Jamshidi & Javier Cámara & Bradley R. Schmerl & Christian Kästner & David Garlan,conf/icse/JamshidiCSKG19,https://doi.org/10.1109/SEAMS.2019.00015,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,Yes,
204,Model-Based Adaptation for Robotics Software.,2019,Jonathan Aldrich & David Garlan & Christian Kästner & Claire Le Goues & Anahita Mohseni-Kabir & Ivan Ruchkin & Selva Samuel & Bradley R. Schmerl & Christopher Steven Timperley & Manuela Veloso & Ian Voysey & Joydeep Biswas & Arjun Guha & Jarrett Holtz & Javier Cámara & Pooyan Jamshidi,journals/software/AldrichGKGMRSST19,https://doi.org/10.1109/MS.2018.2885058,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,Yes,
119,Formal Modeling and Automatic Code Synthesis for Robot System.,2017,Xinxin Li & Rui Wang 0024 & Yu Jiang 0001 & Yong Guan & Xiaojuan Li & Xiaoyu Song,conf/iceccs/LiWJGLS17,https://doi.org/10.1109/ICECCS.2017.17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
38,A use case in model-based robot development using AADL and ROS.,2018,Gianluca Bardaro & Andrea Semprebon & Matteo Matteucci,conf/icse/BardaroSM18,https://doi.org/10.1145/3196558.3196560,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
31,Towards rapid composition with confidence in robotics software.,2018,Neil A. Ernst & Rick Kazman & Philip Bianco,conf/icse/ErnstKB18,https://doi.org/10.1145/3196558.3196567,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
10,The forgotten case of the dependency bugs: on the example of the robot operating system.,2020,Anders Fischer-Nielsen & Zhoulai Fu & Ting Su & Andrzej Wasowski,conf/icse/Fischer-Nielsen20,https://doi.org/10.1145/3377813.3381364,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
9,Formal Verification of ROS-Based Robotic Applications Using Timed-Automata.,2017,Raju Halder & José Proença & Nuno Macedo & André Santos 0001,conf/icse/HalderPMS17,https://doi.org/10.1109/FormaliSE.2017.9,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
21,How do you architect your robots?: state of the practice and guidelines for ROS-based systems.,2020,Ivano Malavolta & Grace A. Lewis & Bradley R. Schmerl & Patricia Lago & David Garlan,conf/icse/MalavoltaLSLG20,https://doi.org/10.1145/3377813.3381358,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
14,High level synthesis of ROS protocol interpretation and communication circuit for FPGA.,2019,Takeshi Ohkawa & Yuhei Sugata & Harumi Watanabe & Nobuhiko Ogura & Kanemitsu Ootsu & Takashi Yokota,conf/icse/OhkawaSWOOY19,https://doi.org/10.1109/RoSE.2019.00014,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
15,Checking consistency of robot software architectures in ROS.,2018,Thomas Witte & Matthias Tichy,conf/icse/WitteT18,https://doi.org/10.1145/3196558.3196559,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Yes,,
