ID,Round,Direction,Item Type,Year,Author,Publication Title,DOI,Url,Abstract,Automatic Tags,Title,I1 (!ROS),I2 (!SE),I3 (!English),I4 (<2007),I5 (!Peer reviewed),E1 (only-implementation),E2 (dup previous),E2 (duplicate),E3 (no full-text),Included,,
S04,1,Forward,journalArticle,2019,"Dehnavi, Saeid; Sedaghatbaf, Ali; Salmani, Bahar; Sirjani, Marjan; Kargahi, Mehdi; Khamespanah, Ehsan",Procedia Computer Science,10.1016/j.procs.2019.08.012,https://www.sciencedirect.com/science/article/pii/S1877050919309263,"Robotic technology helps humans in different areas such as manufacturing, health care and education. Due to the ubiquitous revolution, today’s focus is on mobile robots and their applications in a variety of cyber-physical systems. ROS is a wll-known and powerful middleware that facilitates software development for mobile robots. However, this middleware does not support assuring properties such as timeliness and safety of ROS-based software. In this paper we present an integration of Timed Rebeca modeling language with ROS to synthesize verified robotic software. First, a conceptual model of robotic programs is developed using Timed Rebeca. After verifying a set of user-defined correctness properties on this model, it is translated to a ROS program automatically. Experiments on some small-scale case studies illustrates the applicability of the proposed integration method.",Model Checking; Robotics; ROS; Formal Verification; Mobility; Model-Based Design; Timed Rebeca,Towards an Actor-based Approach to Design Verified ROS-based Robotic Programs using Rebeca,,,,,,,,,,YES,Procedia Computer Science,Procedia Computer Science
S09,1,Forward,conferencePaper,2019,"Bardaro, Gianluca; Semprebon, Andrea; Chiatti, Agnese; Matteucci, Matteo",2019 Third IEEE International Conference on Robotic Computing (IRC),10.1109/IRC.2019.00118,,"Modelling complex systems is a common practice and de facto standard across most application domains in engineering. Although it would seem unreasonable - and quite impractical - to build a structure as complex as a bridge without a reference blueprint detailing how to arrange all of its building blocks, in Software Development, and, particularly in the context of Robotics, examples adhering to rigorous modelling routines are still relatively rare to find. Yet, models help understanding complex problems while pinpointing their potential solutions, through abstraction. Further, models aid communication, i.e., the unambiguous exchange of reasoning processes across the involved agents. The complexity of Robotic Software Systems suggests that a widespread application of modelling techniques, from the very initial implementation stages, would (i) ease the definition, engineering and debugging of the related sub-features significantly, and (ii) guide collaborative efforts towards a common standard. To this aim, we presented a toolchain conceived for parsing an input AADL model into a compilable code suite. Keeping the model building and the linkage of the robot application with the ROS environment in the developer's hands, this framework delegates all the remaining tasks to an automated code generator, producing a fully-functioning ROS packages (i.e., already configured and ready for compiling) as output. We first presented the discussed framework, highlighted its related advantages - when compared to the only other similar approach found in the literature -, and used it as an exemplary use case, to prompt broader discussions on the benefits of model-based software development in Robotics.",AADL; Analytical models; Code generation; Computer architecture; Message systems; Modeling; Peer-to-peer computing; Robotics; Robots; ROS; Software packages,From Models to Software Through Automatic Transformations: An AADL to ROS End-to-End Toolchain,,,,,,,,,,YES,2019 Third IEEE International Conference on Robotic Computing (IRC),IRC
S10,1,Forward,conferencePaper,2020,"Wehrmeister, Marco Aurelio",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),10.1109/ETFA46521.2020.9212077,,"This work proposes an approach to generate automatically the embedded software for distributed Cyber-Physical Systems implemented using the Robotic Operating System (ROS) framework. For that, the Aspect-oriented Model Driven Engineering for Real-Time systems (AMoDE-RT) design approach has been extended in order to support the C++ code generation using the semantics and libraries available in ROS framework which is widely used in both academia and industry to implement the embedded software for robotic systems. The system architecture, behavior, requirements and constraints are specified in a UML/MARTE model. The information specified in the high-level model is used as input for a tool that generates a great part of the embedded software for all distributed computing devices. The main goal is to foster the use of Model-Driven Engineering in the context of cyber-physical systems design aiming the rapid prototyping via simulation and also the generation of the actual implementation of the system components. The proposed approach has been validated through a case study that demonstrates the feasibility to implement a ROS/C++ software for industrial systems. The results indicate that the proposed approach can be applied to complex systems comprising a larger number of interacting devices, whereas keeping the high-level of abstraction for system specification in UML/MARTE models.",code generation; embedded software; MARTE; Model-Driven Engineering; Robot Operating System; UML,Generating ROS-based Software for Industrial Cyber-Physical Systems from UML/MARTE,,,,,,,,,,YES,2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),ETFA
S102,1,Forward,conferencePaper,2021,"Drumheller, William R.; Conner, David C.",SoutheastCon 2021,10.1109/SoutheastCon45413.2021.9401832,,"The Robot Operating System (ROS) is frequently used to develop complex robotic systems with many interacting software components. While ROS provides several tools for visualizing active ROS deployments, it lacks tools for Model-Based Engineering (MBE) during the development stage, and ROS lacks tools for easily documenting the interfaces and deployed components other than specific configuration and launch files themselves. This paper presents a software tool chain - dubbed CHRIS ROS Modeling - that enables users to document an existing ROS deployment. The information is stored as instances of a simplified metamodel in portable formats. The resulting information serves to document an existing system and will serve as the foundation for future work to develop an integrated MBE system. This paper compares our approach to similar approaches currently in development.",Computational modeling; Documentation; Portable document format; System testing; Tools; US Department of Transportation; Visualization,Documentation and Modeling of ROS Systems,,,,,,,,,,YES,SoutheastCon 2021,SoutheastCon
S103,1,Forward,conferencePaper,2019,"Hammoudeh Garcia, Nadia; Lüdtke, Mathias; Kortik, Sitar; Kahl, Björn; Bordignon, Mirko",2019 Third IEEE International Conference on Robotic Computing (IRC),10.1109/IRC.2019.00060,,"Ten years after its first release, the Robot Operating System (ROS) is arguably the most popular software framework used to program robots. It achieved such status despite its shortcomings compared to alternatives similarly centered on manual programming and, perhaps surprisingly, to model-driven engineering (MDE) approaches. Based on our experience as users and developers of both ROS and MDE tools, we identified possible ways to leverage the accessibility of ROS and its large software ecosystem, while providing quality assurance measures through selected MDE techniques. After describing our vision on how to combine MDE and manually written code, we present the first technical contribution in this pursuit: a family of three metamodels to respectively model ROS nodes, communication interfaces, and systems composed from subsystems. Such metamodels can be used, through the accompanying Eclipse-based tooling made publicly available, to model ROS systems of arbitrary complexity and generate with correctness guarantees the software artifacts for their composition and deployment. Furthermore, they account for specifications on these aspects by the Object Management Group (OMG), in order to be amenable to hybrid systems coupling ROS and other frameworks. We also report on our experience with a large and complex corpus of ROS software used in a commercially deployed robot (the Care-O-bot 4), to explain the rationale of the presented work, including the shortcomings of standard ROS tools and of previous efforts on ROS modeling.",development environments; Manuals; models; Robot kinematics; Robot sensing systems; ROS; Service robots; Software; Tools,Bootstrapping MDE Development from ROS Manual Code - Part 1: Metamodeling,,,,,,,,,,YES,2019 Third IEEE International Conference on Robotic Computing (IRC),IRC
S108,1,Forward,conferencePaper,2020,"Breitenhuber, Guido",2020 Fourth IEEE International Conference on Robotic Computing (IRC),10.1109/IRC.2020.00081,,"Robotics is a highly interdisciplinary field where applications of complex architectures are built to solve challenging problems. Integration of multiple components in this environment continues to be a time-consuming, tedious and error-prone activity. Typical approaches in parallel component development or composition from re-usable components focus on structural and static aspects like ROS message and topic definitions. However, the behavioural part of robot software components is hardly ever specified in sufficient detail. In this work, we tackle this issue by proposing an application-level testing framework for robot software applications that uses a fluent API to describe the expected behaviour of an application or its components. This is a first step towards test-first based development of robot software in order to increase robot software quality.",Automated testing; Computer architecture; Conferences; Robots; ROS; ROS testing; Software quality; Software testing; Testing; Testing frameworks,Towards application level testing of ROS networks,,,,,,,,,,YES,2020 Fourth IEEE International Conference on Robotic Computing (IRC),IRC
S134,1,Forward,conferencePaper,2019,"Okumuş, Fatih; Kocamaz, Adnan Fatih",2019 International Artificial Intelligence and Data Processing Symposium (IDAP),10.1109/IDAP.2019.8875993,,"In Cyber-Physical Systems, logistical activities with automatic guided vehicles (AGV) are indispensable for Industry 4.0 integration. In order to navigate the AGVs to be used in logistics, difficulties such as localization of AGV, mapping the environment, mobile-immobile obstacle avoidance, and optimum task allocation must be overcome. All these operations can be realized with an architecture that provides communication infrastructure and management mechanism in multiple robots. In this publication, cloud-based, ROS-enabled communication and navigation methods for multiple AGVs are proposed. The proposed method was tested and applied successfully in a laboratory environment.",AGV; Cloud computing; cloud robotics; Cyber-physical systems; navigation; Navigation; Robot kinematics; ROS; Service robots; Software; Task analysis,"Testing, Verification and Improvements of Timeliness in ROS Processes",,,,,,,,,,YES,2019 International Artificial Intelligence and Data Processing Symposium (IDAP),IDAP
S16,1,Forward,journalArticle,2021,"Albonico, Michel; Malavolta, Ivano; Pinto, Gustavo; Guzman, Emitza; Chinnappan, Katerina; Lago, Patricia",MSR 2021,,http://arxiv.org/abs/2103.13762,"Robots are becoming more and more commonplace in many industry settings. This successful adoption can be partly attributed to (1) their increasingly affordable cost and (2) the possibility of developing intelligent, software-driven robots. Unfortunately, robotics software consumes significant amounts of energy. Moreover, robots are often battery-driven, meaning that even a small energy improvement can help reduce its energy footprint and increase its autonomy and user experience. In this paper, we study the Robot Operating System (ROS) ecosystem, the de-facto standard for developing and prototyping robotics software. We analyze 527 energy-related data points (including commits, pull-requests, and issues on ROS-related repositories, ROS-related questions on StackOverflow, ROS Discourse, ROS Answers, and the official ROS Wiki). Our results include a quantification of the interest of roboticists on software energy efficiency, 10 recurrent causes, and 14 solutions of energy-related issues, and their implied trade-offs with respect to other quality attributes. Those contributions support roboticists and researchers towards having energy-efficient software in future robotics projects.",Computer Science - Robotics; Computer Science - Software Engineering,Mining Energy-Related Practices in Robotics Software,,,,,,,,,,YES,MSR 2021,MSR
S160,1,Forward,conferencePaper,2020,"Malavolta, Ivano; Lewis, Grace; Schmerl, Bradley; Lago, Patricia; Garlan, David",2020 IEEE/ACM 42nd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),,,"The Robot Operating System (ROS) is the de-facto standard for robotic software. If on one hand ROS is helping roboticists, e.g., by providing a standardized communication platform, on the other hand ROS-based systems are getting larger and more complex and could benefit from good software architecture practices. This paper presents an observational study aimed at (i) unveiling the state-of the-practice for architecting ROS-based systems and (ii) providing guidance to roboticists about how to properly architect ROS-based systems. To achieve these goals, we (i) build a dataset of 335 GitHub repositories containing real open-source ROS-based systems, (ii) mine the repositories for extracting the state of the practice about how roboticists are architecting them, and (iii) synthesize a catalog of 49 evidence-based guidelines for architecting ROS-based systems. The guidelines have been validated by 77 roboticists working on real-world open-source ROS-based systems.",Computer architecture; Data mining; Documentation; Guidelines; Mining Software Repositories; Open source software; Robotics; Robots; Service robots; Software Architecture,How do you Architect your Robots? State of the Practice and Guidelines for ROS-based Systems,,,,,,,,,,YES,2020 IEEE/ACM 42nd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),SEIP
S161,1,Forward,book,2021,"Malavolta, Ivano; Chinnappan, Katerina; Swanborn, Stan; Lewis, Grace; Lago, Patricia",,,,,,Mining the ROS ecosystem for Green Architectural Tactics in Robotics and an Empirical Evaluation,,,,,,,,,,YES,,MSR
S164,1,Forward,journalArticle,2021,"Malavolta, Ivano; Lewis, Grace A.; Schmerl, Bradley; Lago, Patricia; Garlan, David",Journal of Systems and Software,10.1016/j.jss.2021.110969,https://linkinghub.elsevier.com/retrieve/pii/S0164121221000662,"Methods: We designed and conducted an observational study where we (i) built a dataset of 335 GitHub repositories containing real open-source ROS-based systems, and (ii) mined the repositories to extract and synthesize quantitative and qualitative findings about how roboticists are architecting ROS-based systems. Results: First, we extracted an empirically-grounded overview of the state of the practice for architecting and documenting ROS-based systems. Second, we synthesized a catalog of 47 architecting guidelines for ROS-based systems. Third, the extracted guidelines were validated by 119 roboticists working on real-world open-source ROS-based systems. Conclusion: Roboticists can use our architecting guidelines for applying good design principles to develop robots that meet quality requirements, and researchers can use our results as evidence-based indications about how real-world ROS systems are architected today, thus inspiring future research contributions.",,Mining guidelines for architecting robotics software,,,,,,,,,,YES,Journal of Systems and Software,JSS
S232,1,Backward,conferencePaper,2012,"Kilgo, Paul; Syriani, Eugene; Anderson, Monica","Simulation, Modeling, and Programming for Autonomous Robots",10.1007/978-3-642-34327-8_14,,"In robotics we are often faced with the problem of repeatedly writing robot drivers for the same devices, but different robot frameworks. In an effort to counter this, a domain specific language for generating robot drivers was developed. However, descriptions tend to get verbose fast and the adopted syntax was difficult for programmers. This paper outlines an attempt to shift away from a textual syntax and toward a visual syntax, instead relying on the textual syntax to communicate the model to other tools. In addition, a formalism for defining ROS nodes is presented and a model transformation for mapping RDIS messages to ROS messages and vice-versa is created.",Concrete Syntax; Model Transformation; Object Management Group; Operational Semantic; Visual Modeling,A Visual Modeling Language for RDIS and ROS Nodes Using AToM3,,,,,,,,,,YES,"Simulation, Modeling, and Programming for Autonomous Robots","Simulation, Modeling, and Programming for Autonomous Robots"
S234,1,Backward,conferencePaper,2016,"Santos, André; Cunha, Alcino; Macedo, Nuno; Lourenço, Cláudio",2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS.2016.7759661,,"Robots are being increasingly used in safety-critical contexts, such as transportation and health. The need for flexible behavior in these contexts, due to human interaction factors or unstructured operating environments, led to a transition from hardware- to software-based safety mechanisms in robotic systems, whose reliability and quality is imperative to guarantee. Source code static analysis is a key component in formal software verification. It consists on inspecting code, often using automated tools, to determine a set of relevant properties that are known to influence the occurrence of defects in the final product. This paper presents HAROS, a generic, plug-in-driven, framework to evaluate code quality, through static analysis, in the context of the Robot Operating System (ROS), one of the most widely used robotic middleware. This tool (equipped with plug-ins for computing metrics and conformance to coding standards) was applied to several publicly available ROS repositories, whose results are also reported in the paper, thus providing a first overview of the internal quality of the software being developed in this community.",Context; Measurement; Safety; Service robots; Software; Standards,A framework for quality assessment of ROS repositories,,,,,,,,,,YES,2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),IROS
S235,1,Backward,conferencePaper,2019,"Santos, André; Cunha, Alcino; Macedo, Nuno",2019 Third IEEE International Conference on Robotic Computing (IRC),10.1109/IRC.2019.00018,,"The Robot Operating System (ROS) is one of the most popular open source robotic frameworks, and has contributed significantly to the fast development of robotics. Even though ROS provides many ready-made components, a robotic system is inherently complex, in particular regarding the architecture and orchestration of such components. Availability and analysis of a system's architecture at compile time is fundamental to ease comprehension and development of higher-quality software. However, ROS developers have to overcome this complexity relying mostly on testing and runtime visualisers. This work aims to enhance static-time support by proposing, firstly, a metamodel to describe the software architecture of ROS systems (the ROS Computation Graph) and, secondly, model extraction and visualisation tools for such architectural models. The provided tools allow users to specify custom-made queries over these models, enabling the static verification of relevant properties that had to be (manually) checked at runtime before.",Computational modeling; Computer architecture; robotics; Robots; Runtime; Software; software architecture; software quality; static analysis; Tools; Visualization,Static-Time Extraction and Analysis of the ROS Computation Graph,,,,,,,,,,YES,2019 Third IEEE International Conference on Robotic Computing (IRC),IRC
S236,1,Backward,conferencePaper,2017,"Santos, André; Cunha, Alcino; Macedo, Nuno; Arrais, Rafael; dos Santos, Filipe Neves",2017 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS.2017.8206237,,"The Robot Operating System (ROS) is nowadays one of the most popular frameworks for developing robotic applications. To ensure the (much needed) dependability and safety of such applications we forecast an increasing demand for ROS-specific coding standards, static analyzers, and tools alike. Unfortunately, the development of such standards and tools can be hampered by ROS modularity and configurability, namely the substantial number of primitives (and respective variants) that must, in principle, be considered. To quantify the severity of this problem, we have mined a large number of existing ROS packages to understand how its primitives are used in practice, and to determine which combinations of primitives are most popular. This paper presents and discusses the results of this study, and hopefully provides some guidance for future standardization efforts and tool developers.",C++ languages; Robots; Runtime; Software; Standards; Tools,Mining the usage patterns of ROS primitives,,,,,,,,,,YES,2017 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),IROS
S30,1,Forward,conferencePaper,2020,"Carvalho, Renato; Cunha, Alcino; Macedo, Nuno; Santos, André",2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS45743.2020.9341085,,"Robots are currently deployed in safety-critical domains but proper techniques to assess the functional safety of their software are yet to be adopted. This is particularly critical in ROS, where highly configurable robots are built by composing third-party modules. To promote adoption, we advocate the use of lightweight formal methods, automatic techniques with minimal user input and intuitive feedback. This paper proposes a technique to automatically verify system-wide safety properties of ROS-based applications at static time. It is based in the formalization of ROS architectural models and node behaviour in Electrum, over which system-wide specifications are subsequently model checked. To automate the analysis, it is deployed as a plug-in for HAROS, a framework for the assessment of ROS software quality aimed at the ROS community. The technique is evaluated in a real robot, AgRob V16, with positive results.",Computer architecture; Intelligent robots; Middleware; Model checking; Safety; Scalability; Software quality,Verification of system-wide safety properties of ROS applications,,,,,,,,,,YES,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),IROS
S349,1,Backward,conferencePaper,2014,"Huang, Jeff; Erdogan, Cansu; Zhang, Yi; Moore, Brandon; Luo, Qingzhou; Sundaresan, Aravind; Rosu, Grigore",Runtime Verification,10.1007/978-3-319-11164-3_20,,"We present ROSRV, a runtime verification framework for robotic applications on top of the Robot Operating System (ROS [8]), a widely used open-source framework for robot software development. ROSRV aims to address the safety and security issues of robots by providing a transparent monitoring infrastructure that intercepts and monitors the commands and messages passing through the system. Safety and security properties can be defined in a formal specification language, and are ensured by automatically generated monitors. ROSRV integrates seamlessly with ROS—no change in ROS nor the application code is needed. ROSRV has been applied and evaluated on a commercial robot.",Access Control Policy; Linear Temporal Logic; Robot Operating System; Runtime Verification; Virtual Machine Monitor,ROSRV: Runtime Verification for Robots,,,,,,,,,,YES,Runtime Verification,International Conference on Runtime Verification RV
S362,1,Backward,conferencePaper,2015,"Curran, William; Thornton, Thomas; Arvey, Benjamin; Smart, William D.",2015 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA.2015.7140071,,"The ROS ecosystem is an interconnected web of packages, nodes and people with no efficient means to compare, assess or visualize them. We develop a set of tools consisting of various metrics, a data visualization web app, and an active monitoring system. With these tools, we measure the current state of the ecosystem as well as determine where the community should direct their efforts. We also encourage the community to provide input on potential applications, additional metrics, and further improvements to address the needs of the ROS ecosystem. We incentivize this input by gamifying community contributions to the infrastructure. Encouraging user-driven improvements to the ROS infrastructure through the use of a leaderboard and friendly competition will advance ROS development and community support far into the future.",Communities; Ecosystems; Measurement; Open source software; Peer-to-peer computing; Robots,Evaluating impact in the ROS ecosystem,,,,,,,,,,YES,2015 IEEE International Conference on Robotics and Automation (ICRA),ICRS
S38,1,Forward,conferencePaper,2021,"Swanborn, Stan; Malavolta, Ivano",2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),10.1109/ICSE-Companion52605.2021.00029,,"Software is becoming the core aspect in robotics development and it is growing in terms of complexity and size. However, roboticists and researchers are struggling in ensuring and even measuring the quality of their software with respect to run-time properties such as energy efficiency and performance.This paper presents Robot Runner, a tool for streamlining the execution of measurement-based experiments involving robotics software. The tool is able to automatically setup, start, resume, and fully replicate user-defined experiments. Thanks to its plugin-based architecture, the tool is fully independent of the number, type, and complexity of the used robots (both real and simulated). GitHub repository – https://github.com/S2-group/robot-runner Youtube video – https://youtu.be/le-SAXI2k1E",Complexity theory; Empirical software engineering; Energy measurement; Robotics software; Robots; ROS; Software; Software engineering; Software measurement; Tools,Robot Runner: A Tool for Automatically Executing Experiments on Robotics Software,,?,,,,,,,,YES,2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),ICSE - DEMOS
S387,1,Backward,conferencePaper,2016,"Maruyama, Yuya; Kato, Shinpei; Azumi, Takuya",Proceedings of the 13th International Conference on Embedded Software,10.1145/2968478.2968502,,"Middleware for robotics development must meet demanding requirements in real-time distributed embedded systems. The Robot Operating System (ROS), open-source middleware, has been widely used for robotics applications. However, the ROS is not suitable for real-time embedded systems because it does not satisfy real-time requirements and only runs on a few OSs. To address this problem, ROS1 will undergo a significant upgrade to ROS2 by utilizing the Data Distribution Service (DDS). DDS is suitable for real-time distributed embedded systems due to its various transport configurations (e.g., deadline and fault-tolerance) and scalability. ROS2 must convert data for DDS and abstract DDS from its users; however, this incurs additional overhead, which is examined in this study. Transport latencies between ROS2 nodes vary depending on the use cases, data size, configurations, and DDS vendors. We conduct proof of concept for DDS approach to ROS and arrange DDS characteristic and guidelines from various evaluations. By highlighting the DDS capabilities, we explore and evaluate the potential and constraints of DDS and ROS2.",data distribution service; embedded; publish/subscribe; quality of service; real-time; robot operating system,Exploring the performance of ROS2,,,,,,,,,,YES,Proceedings of the 13th International Conference on Embedded Software,Proceedings of the 13th International Conference on Embedded Software
S409,1,Backward,conferencePaper,2015,"Estefo, Pablo; Robbes, Romain; Fabry, Johan",2015 34th International Conference of the Chilean Computer Science Society (SCCC),10.1109/SCCC.2015.7416575,,"The middleware for robotics ROS has become the de-facto standard for developing robot applications. Thanks to our experience using ROS we conjectured that the quality of code of ROS is low, yielding a poor user experience for ROS users and posing important barriers to robot software development. In this work we present a first quantification of code quality of the ROS ecosystem through an analysis of code duplication in launchfiles. Our experience led us to believe that these configuration files exhibit a significant amount of code duplication, and this study shows that it is indeed the case. We find that 25% of packages with multiple launchfiles have duplicated code, and that clones are highly similar.",Cloning; Ecosystems; Robot kinematics; Software; Visualization; XML,Code duplication in ROS launchfiles,,,,,,,,,,YES,2015 34th International Conference of the Chilean Computer Science Society (SCCC),SCCC
S431,1,Backward,conferencePaper,2015,"Ernits, Juhan; Halling, Evelin; Kanter, Gert; Vain, Jüri",2015 European Conference on Mobile Robots (ECMR),10.1109/ECMR.2015.7324210,,"We apply model-based testing - a black box testing technology - to improve the state of the art of integration testing of navigation and localisation software for mobile robots built in ROS. Online model-based testing involves building executable models of the requirements and executing them in parallel with the implementation under test (IUT). In the current paper we present an automated approach to generating a model from the topological map that specifies where the robot can move to. In addition, we show how to specify scenarios of interest and how to add human models to the simulated environment according to a specified scenario. We measure the quality of the tests by code coverage, and empirically show that it is possible to achieve increased test coverage by specifying simple scenarios on the automatically generated model of the topological map. The scenarios augmented by adding humans to specified rooms at specified stages of the scenario simulate the changes in the environment caused by humans. Since we test navigation at coordinate and topological level, we report on finding problems related to the topological map.",Adaptation models; Automata; Computational modeling; Robot kinematics; Software; Testing,Model-based integration testing of ROS packages: A mobile robot case study,,,,,,,,,,YES,2015 European Conference on Mobile Robots (ECMR),ECMR
S48,1,Forward,conferencePaper,2021,"Radermacher, Ansgar; Morelli, Matteo; Hussein, Mahmoud; Nouacer, Reda",Proceedings of the 2021 Drone Systems Engineering and Rapid Simulation and Performance Evaluation: Methods and Tools Proceedings,10.1145/3444950.3444956,https://doi.org/10.1145/3444950.3444956,"Drones/UAVs are able to perform air operations that are difficult to carry out by manned aircrafts. Their use brings significant environmental benefits and economic savings while reducing risks to human life. Recently, a number of approaches introduced a support for the development of drone software systems. However, the development of such systems is still largely done following ad-hoc processes without capturing systematically all requirements and constraints, and without a clear architectural vision. Therefore, in this paper, we introduce the Papyrus for Robotics tool. This tool is compliant with the model-driven development approach proposed by the RobMoSys project. The tool distinguishes different stakeholders and artefacts, and has a support for high-level behavior modeling. In addition, due to the nature of the drone domain, safety concerns play an important role. For instance, a drone needs to fly in safe areas only (i.e. geo-caging) or keep a sufficient safety-distance from other drones/flying objects in the space. Thus, the tool has a specific support for safety concerns. To ensure the applicability of our tool, we have used it to perform a case study in the context of the COMP4DRONES project that targets reducing the development cost of drone systems.",Code Generation; Safety; Modeling; ROS2; Drones,Designing Drone Systems with Papyrus for Robotics,,,,,,,,,,YES,Proceedings of the 2021 Drone Systems Engineering and Rapid Simulation and Performance Evaluation: Methods and Tools Proceedings,Proceedings of the 2021 Drone Systems Engineering and Rapid Simulation and Performance Evaluation: Methods and Tools Proceedings
S507,1,Backward,conferencePaper,2017,"Conner, David C.; Willis, Justin",SoutheastCon 2017,10.1109/SECON.2017.7925266,,"This paper describes the Flexible Navigation system that extends the ROS Navigation stack and compatible libraries to separate computation from decision making, and integrates the system with FlexBE - the Flexible Behavior Engine, which provides intuitive supervision with adjustable autonomy. Although the ROS Navigation plugin model offers some customization, many decisions are internal to move_base. In contrast, the Flexible Navigation system separates global planning from local planning and control, and uses a hierarchical finite state machine to coordinate behaviors. The Flexible Navigation system includes Python-based state implementations and ROS nodes derived from the move_base plugin model to provide compatibility with existing libraries as well as future extensibility. The paper concludes with complete system demonstrations in both simulation and hardware using the iRobot Create and Kobuki-based Turtlebot running under ROS Kinetic. The system supports multiple independent robots.",Collaboration; Computer architecture; Libraries; Navigation; Planning; Robot kinematics,Flexible Navigation: Finite state machine-based integrated navigation and control for ROS enabled robots,,,,,,,,,,YES,SoutheastCon 2017,SoutheastCon 2017
S516,1,Backward,conferencePaper,2017,"Jeong, Se-Yeon; Choi, I-Ju; Kim, Yeong-Jin; Shin, Yong-Min; Han, Jeong-Hun; Jung, Goo-Hong; Kim, Kyoung-Gon",Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction,10.1145/3029798.3038437,,"ROS (Robot Operating System) is an open source software framework used for robot control. In this paper, we analyzed and tested 4 vulnerabilities related to ROS authentication scheme insufficiency, ROS Bag, communication vulnerability, and service hijacking. Then, We devised countermeasures against them.",cyber-physical system; robot; ros; security; vulnerability,A Study on ROS Vulnerabilities and Countermeasure,,,,,,,x,,,YES,Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction,Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction
S01,1,Forward,conferencePaper,2020,"Keller, Claas; Mann, Zoltán Ádám",Service-Oriented Computing – ICSOC 2019 Workshops,10.1007/978-3-030-45989-5_4,,"An important feature of service-based and cloud-based systems is their ability to perform self-adaptation. Through self-adaptation, such systems can automatically react to changes and thus ensure the continued satisfaction of their functional and non-functional requirements. Self-adaptation may take non-negligible time (which we term adaptation latency), and during this period the self-adaptive system may exhibit degraded performance or other negative impact. Hence, it is important to understand how long self-adaptations take and what influences the adaptation latency. However, we are not aware of a systematic study of this question in the literature. This paper is a first step in this direction. We present (i) a model of adaptation latency that breaks it down into four components and (ii) a preliminary survey, limited to one conference series and to service-based and cloud-based systems, to analyze information about adaptation latency in the available literature on self-adaptive systems. According to the findings from this preliminary survey, although some components of the adaptation latency are studied in some publications, the whole adaptation delay is seldom considered.",,Towards Understanding Adaptation Latency in Self-adaptive Systems,x,,,,,,,,,NO,Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction,
