Somente Humano,Somente Gemini 3.1 Flash
Researchers’ Concerns on Artificial Intelligence Ethics: Results from a Scenario-Based Survey,CAIN '22: Proceedings of the 1st International Conference on AI Engineering: Software Engineering for AI
Scalable Multi-Facility Workflows for Artificial Intelligence Applications in Climate Research,Surfing the AI Wave in Software Engineering: Opportunities and Challenges
-,Evaluation of The Generality of Multi-view Modeling Framework for ML Systems
-,Why Large Language Models will (not) Kill Software Engineering Research
-,"Introducing Software Development Process, Software Engineering, and Artificial Intelligence in a CS0.5 Course Project"
-,Component-based Approach to Software Engineering of Machine Learning-enabled Systems
-,The Road Toward Dependable AI Based Systems
-,Attitudes Towards LLM Use Among Software Engineering Researchers: Results From A Two-Phase Survey Study
-,Explainable AI for software engineering
-,Is ChatGPT Capable of Crafting Gamification Strategies for Software Engineering Tasks?
-,A Transformer-based Approach for Augmenting Software Engineering Chatbots Datasets
-,ChatGPT application in Systematic Literature Reviews in Software Engineering: an evaluation of its accuracy to support the selection activity
-,Keynote Talk: End-User Software Engineering for Actionable AI: The keys to legal compliance
